op,operator_run,status,already_in_ncnn,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
Dense_Convolution_2D_kernel,True,success,True,success,0.0,True,0.0012812614440917969,True,True,0.0012812614440917969,True,0.131,0.149,951.24,124.29,131.41
DepthToSpace,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.053,1.357,0.19,0.2,0.19
Det,True,success,False,success,nan,True,nan,True,True,nan,False,,,,,
Det_2d,True,success,False,success,nan,True,nan,True,True,nan,False,,,,,
Det_3d,True,success,False,success,nan,True,nan,True,True,nan,False,,,3.06,,
Div,True,success,True,success,0.0,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,True,2.5,1.0,0.02,0.05,0.02
ELU,True,success,True,success,7.450580596923828e-09,True,7.450580596923828e-09,True,True,7.450580596923828e-09,True,0.923,1.0,0.13,0.12,0.13
Einsum,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,1.61,1.59
Einsum_diagonal,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,0.01,,
Einsum_elementwise,True,fail,,fail,,,,,,,,,,,,
Einsum_sum_all,True,success,True,success,1.52587890625e-05,True,3.0517578125e-05,True,True,3.0517578125e-05,True,0.5,0.5,0.02,0.01,0.01
Einsum_transpose,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.0,1.0,0.17,0.17,0.17
Equal,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
Erf,True,success,True,success,3.948807716369629e-07,True,3.948807716369629e-07,True,True,3.948807716369629e-07,True,0.833,1.0,0.12,0.1,0.12
Exp,True,success,True,success,1.52587890625e-05,True,1.52587890625e-05,True,True,1.52587890625e-05,True,1.277,0.8,1.77,2.26,1.88
Floor,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.206,0.676,0.34,0.75,0.23
Gather,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.01,,
GatherElements,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.01,,
Gemm,True,success,True,success,5.364418029785156e-07,True,0.0005624294281005859,True,True,0.0005624294281005859,True,,,0.72,,
Gemm_alpha,True,success,True,success,0.0,True,0.0,True,True,0.0,True,0.444,,0.09,0.04,
Gemm_beta,True,success,True,success,0.0,True,0.0,True,True,0.0,True,0.5,0.6,0.04,0.02,0.03
Gemm_no_bias,True,success,True,success,0.0,True,1.1444091796875e-05,True,True,1.1444091796875e-05,True,0.028,0.047,1.06,0.03,0.05
Gemm_scalar_bias,True,success,True,success,3.5762786865234375e-07,True,0.00046122074127197266,True,True,0.00046122074127197266,True,,,,,
Gemm_transposed,True,success,True,success,0.0,True,0.0014226436614990234,True,True,0.0014226436614990234,True,0.593,0.733,0.27,0.16,0.22
GlobalAveragePool,True,success,True,success,1.909211277961731e-08,True,3.725290298461914e-09,True,True,3.725290298461914e-09,True,1.0,0.75,0.07,0.07,0.03
GlobalAveragePool_2d,True,success,True,success,1.909211277961731e-08,True,3.725290298461914e-09,True,True,3.725290298461914e-09,True,1.0,1.333,0.07,0.07,0.04
GlobalAveragePool_2d_single_channel,True,success,True,success,2.3283064365386963e-08,True,8.381903171539307e-09,True,True,8.381903171539307e-09,True,1.0,1.0,0.02,0.02,0.01
GlobalAveragePool_3d,True,success,True,success,3.4691765904426575e-08,True,6.05359673500061e-09,True,True,6.05359673500061e-09,True,,,,,
GlobalMaxPool,True,success,True,success,0.0,True,0.0,True,True,0.0,True,0.714,1.25,0.07,0.05,0.05
GlobalMaxPool_2d_single_channel,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.0,1.0,0.04,0.04,0.02
GlobalMaxPool_3d,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,,
Greater,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.14,,
